1116,ABS nurse watch with silver and white coloured digits. ,30 x 10,,"7,5 x 4,3 x 1 cm",ABS / Aluminium / Stainless Steel 201
1124,"Bone China mug, 370ml capacity, (sold per 48 pcs)",65 x 35,,"ø 8,2 x 10,5 cm",Porcelain
1134,EVA foam sailing boat key holder.,25 x 30,,"5,3 x 8 x 1,5 cm",Nylon / EVA / Steel
1137,Charles Dickens ballpen. ,30 x 20,30 x 8,"16 x 6,5 x 4,2 cm",ABS / Copper / PU
1140,Plastic phone style calculator. ,45 x 18,,"5,8 x 11,5 x 1 cm",ABS / PS
1152,Key holder with fibre cloth,30 x 20,,"7 x 5,4 x 1,7 cm",Plastic / Vinyl / Microfibre
1153,Flashing heart ballpen ,40 x 20,40 x 7.5,"ø 1,2 x 19,5 cm",Metal / PVC / AS
1165,Plastic adjustable mobile phone holder for a bike. ,55 x 10,,"13,2 x 7 x 8,2 cm",ABS / Rubber
1167,"Baltic floating key holder, oval ",50 x 20,,"8,4 x 3,4 x 1,2 cm",Nylon / EVA / Iron
1171,Anti stress heart and key holder,20 x 15,,"4,5 x 4,5 x 2,5 cm",PU Foam / Metal
1190,Oval shaped paperweight. ,40 x 15 ,,"9 x 7,1 x 2,4 cm",ABS / Iron
1207,"Animal pencil, 50 assd per pack",50 x 6,,"ø 0,7 x 21 cm",Nylon / Graphite / Lime tree
1211,Plastic ballpen with LED torch,30 x 10,,"ø 2,1 x 13 cm",ABS / Nylon
1220,Plastic virtual reality glasses,60 x 15,,"22 x 13 x 10,7 cm",ABS / Metal / Latex / Polyurethane
1305,Key shaped bottle opener with LED light. ,20 x 5,,"6,8 x 3 x 0,8 cm",Metal / Silicone / LED
1306,Plush polar bear in a reflective hoodie with a key ring.,n/a,,"11,7 x 8,6 x 4,5 cm",Aluminium / Glass / Polyester / PP
1342,First aid kit in a nylon pouch,60 x 20,,"13 x 8,5 x 5 cm",Polyester 600D
1361,Candle in a tin,40 dia ,50 dia,"ø 6 x 4,5 cm",Paper / Tin / TPU / Wax
1367,First aid kit in a nylon pouch ,25 x 25,90 x 15,"10,7 x 11,5 x 0,5 cm",Nylon 210D
1374,Waterproof first aid kit ,45 x 45,,"9,6 x 12,3 x 3,7 cm",Plastic / Nylon
1387,First aid kit in a plastic case,35 x 35,,"6,3 x 8,5 x 2,5 cm",PP
1424,3M reflective strips for bicycle spokes.,n/a,,"ø 0,5 x 7 cm",ABS / 3M reflective / Paper 600 gsm
1439,Nylon (190T) fluorescent runners jacket. ,60 x 60,100 x 90,"70 x 55 x 0,1 cm",Nylon 190T
1447,Cotton twill and plastic five panel cap. ,70 x 35,,ø 18 x 13 cm,Cotton / Plastic / PE / Mesh
1450,Five panel acrylic cap. ,80 x 40,,"ø 17,8 x 15 cm",Acrylic / PE / Velcro
1484,Heart plastic mint card. ,50 x 30,,"7,7 x 6,7 x 0,6 cm",PP
1503,Foldable hair brush with mirror,70 x 20 ,,"10,8 x 4 x 2,7 cm",PVC / Nylon / ABS
1587,Heavy brushed cotton cap with six panels. ,80 x 50,,ø 18 x 15 cm,PE / Velcro / Cotton  10x10
1616,Mint tin with approximately forty sugar free mints.,35 dia,,"ø 4,5 x 1,5 cm",Metal
1651,Plastic double pocket mirror.,50 dia,,"ø 6,8 x 1,2 cm",PS / Glass
1658,Plastic single mirror,45 dia,,"ø 6 x 0,4 cm",PS / Glass
1741,Fleece hat.,100 x 25,,ø 27 x 16 cm,Fleece 200gr/m2  Non Anti-Pilling
1743,Fleece scarf.,100 x 60,,150 x 25 cm,Fleece 200gr/m2  Non Anti-Pilling
1745,Fleece cap and scarf.,100 x 40,100 x 100,150 x 25 cm,Fleece
1761,Fleece blanket,90 x 40 ,,160 x 125 cm,Polar Fleece / Polar fleece 165g/m2 / Nylon
1783,Plastic piggy bank,35 x 25,30 x 15,"10 x 7,5 x 8,5 cm",PVC
1825,Metal bottle opener with LED light and tape measure. ,35 x 15 ,,"12,7 x 3,3 x 1,1 cm",ABS / Iron / Steel / LED
1834,Earphones in a plastic case.,45 x 25,50 dia,"ø 6,8 x 1,7 cm",ABS / Metal / PVC / PS / Silicone
